,Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Daily Sales Rate,Days of Inventory,Total Cost,Gross Revenue,Target Sale Per Unit,Order Date,Order Amount,Incoming order,Purchase Amount,Real Cost
0,B-BL,232,2.17,18.95,105,0.6356164383561644,165.19396551724137,503.0,4396.0,63.0,,,0.0,0.0,0.0
1,B-BS,276,1.61,14.95,-117,0.7561643835616438,-154.72826086956522,444.0,4126.0,75.0,,,0.0,192.0,309.0
2,B-NL,299,2.17,18.95,34,0.8191780821917808,41.50501672240803,649.0,5666.0,81.0,,,0.0,47.0,102.0
3,B-NS,267,1.61,14.95,232,0.7315068493150685,317.15355805243445,430.0,3992.0,73.0,,,0.0,0.0,0.0
4,B-PL,250,2.17,18.95,73,0.684931506849315,106.58000000000001,542.0,4738.0,68.0,,,0.0,0.0,0.0
5,B-PS,332,1.61,14.95,86,0.9095890410958904,94.54819277108433,535.0,4963.0,90.0,,,0.0,4.0,6.0
6,FB-NXL,1016,3.27,22.95,0,2.7835616438356166,0.0,3322.0,23317.0,276.0,2024-06-05,200.0,200.0,76.0,249.0
7,FB-NL,1113,1.58,18.95,0,3.0493150684931507,0.0,1759.0,21091.0,303.0,2024-06-05,200.0,200.0,103.0,163.0
8,FB-NS,646,1.3,14.95,0,1.7698630136986302,0.0,840.0,9658.0,176.0,2024-06-05,200.0,200.0,0.0,0.0
9,FB-PXL,1074,3.27,22.95,0,2.9424657534246577,0.0,3512.0,24648.0,292.0,2024-06-05,200.0,200.0,92.0,301.0
10,FB-PL,1109,1.58,18.95,0,3.0383561643835617,0.0,1752.0,21016.0,301.0,2024-06-05,200.0,200.0,101.0,160.0
11,FB-PS,709,1.3,14.95,0,1.9424657534246574,0.0,922.0,10600.0,193.0,2024-06-05,200.0,200.0,0.0,0.0
12,FD-N,264,2.86,13.95,150,0.7232876712328767,207.38636363636363,755.0,3683.0,72.0,,,0.0,0.0,0.0
13,FD-P,294,2.86,13.95,171,0.8054794520547945,212.29591836734693,841.0,4101.0,80.0,,,0.0,0.0,0.0
14,FDN-N,1397,2.33,16.95,233,3.8273972602739725,60.87687902648533,3255.0,23679.0,380.0,,,0.0,147.0,343.0
15,FDN-P,1522,2.33,16.95,244,4.16986301369863,58.515111695137975,3546.0,25798.0,414.0,,,0.0,170.0,396.0
16,FS-NL,605,3.89,22.95,293,1.6575342465753424,176.76859504132233,2353.0,13885.0,164.0,,,0.0,0.0,0.0
17,FS-NS,526,3.51,18.95,355,1.441095890410959,246.3403041825095,1846.0,9968.0,143.0,,,0.0,0.0,0.0
18,FS-PL,582,3.89,22.95,326,1.5945205479452054,204.45017182130584,2264.0,13357.0,158.0,,,0.0,0.0,0.0
19,FS-PS,619,3.51,18.95,266,1.6958904109589041,156.8497576736672,2173.0,11730.0,168.0,,,0.0,0.0,0.0
20,FBX-N,461,3.57,22.95,133,1.263013698630137,105.30368763557483,1646.0,10580.0,125.0,,,0.0,0.0,0.0
21,FBX-P,454,3.57,22.95,233,1.2438356164383562,187.3237885462555,1621.0,10419.0,123.0,,,0.0,0.0,0.0
22,FST-C,123,2.7,18.95,63,0.336986301369863,186.9512195121951,332.0,2331.0,33.0,,,0.0,0.0,0.0
23,FST-N,125,2.7,18.95,62,0.3424657534246575,181.04000000000002,338.0,2369.0,34.0,,,0.0,0.0,0.0
24,F-BE90,180,2.1,14.95,6,0.4931506849315068,12.166666666666668,378.0,2691.0,49.0,,,0.0,43.0,90.0
25,F-CH90,169,2.1,14.95,1,0.46301369863013697,2.1597633136094676,355.0,2527.0,46.0,,,0.0,45.0,94.0
26,F-DU90,128,2.1,14.95,35,0.3506849315068493,99.8046875,269.0,1914.0,35.0,,,0.0,0.0,0.0
27,F-LI90,140,2.1,14.95,10,0.3835616438356164,26.071428571428573,294.0,2093.0,38.0,,,0.0,28.0,59.0
28,F-MX90,2736,2.1,14.95,276,7.495890410958904,36.82017543859649,5746.0,40903.0,744.0,2024-06-05,1000.0,1000.0,0.0,0.0
29,F-BE,144,1.8,12.95,88,0.39452054794520547,223.05555555555557,259.0,1865.0,39.0,,,0.0,0.0,0.0
30,F-CH,175,1.8,12.95,54,0.4794520547945205,112.62857142857143,315.0,2266.0,48.0,,,0.0,0.0,0.0
31,F-DU,162,1.8,12.95,58,0.4438356164383562,130.679012345679,292.0,2098.0,44.0,,,0.0,0.0,0.0
32,F-LI,0,1.8,12.95,26,0.0,inf,0.0,0.0,0.0,,,0.0,0.0,0.0
33,F-MX,2903,1.8,12.95,487,7.953424657534247,61.23148467102997,5225.0,37594.0,789.0,,,0.0,302.0,544.0
34,F-PB,292,1.8,12.95,246,0.8,307.5,526.0,3781.0,79.0,,,0.0,0.0,0.0
