,Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Total Cost,Gross Revenue,Target Sale Per Unit,Order Date,Order Amount,Incoming order,Purchase Amount,Real Cost
0,B-BL,17,2.17,18.95,156,37.0,322.0,218.0,,,0.0,62.0,135.0
1,B-BS,20,1.61,14.95,38,32.0,299.0,257.0,,,0.0,219.0,353.0
2,B-NL,31,2.17,18.95,34,67.0,587.0,398.0,2024-01-06,200.0,200.0,164.0,356.0
3,B-NS,32,1.61,14.95,221,52.0,478.0,411.0,2024-01-06,200.0,200.0,0.0,0.0
4,B-PL,19,2.17,18.95,65,41.0,360.0,244.0,2024-01-06,200.0,200.0,0.0,0.0
5,B-PS,45,1.61,14.95,63,72.0,673.0,578.0,2024-01-06,200.0,200.0,315.0,507.0
6,FB-NXL,52,3.27,22.95,90,170.0,1193.0,667.0,2024-01-06,200.0,200.0,377.0,1233.0
7,FB-NL,36,1.58,18.95,187,57.0,682.0,462.0,,,0.0,275.0,434.0
8,FB-NS,29,1.3,14.95,131,38.0,434.0,372.0,,,0.0,241.0,313.0
9,FB-PXL,40,3.27,22.95,87,131.0,918.0,513.0,2024-01-06,200.0,200.0,226.0,739.0
10,FB-PL,44,1.58,18.95,166,70.0,834.0,565.0,,,0.0,399.0,630.0
11,FB-PS,32,1.3,14.95,154,42.0,478.0,411.0,,,0.0,257.0,334.0
12,FD-N,35,2.86,13.95,500,100.0,488.0,449.0,,,0.0,0.0,0.0
13,FD-P,28,2.86,13.95,518,80.0,391.0,359.0,,,0.0,0.0,0.0
14,FDN-N,152,2.33,16.95,137,354.0,2576.0,1951.0,2024-01-20,500.0,500.0,1314.0,3062.0
15,FDN-P,152,2.33,16.95,143,354.0,2576.0,1951.0,2024-01-20,500.0,500.0,1308.0,3048.0
16,FS-NL,77,3.89,22.95,83,300.0,1767.0,988.0,,,0.0,905.0,3520.0
17,FS-NS,58,3.51,18.95,153,204.0,1099.0,744.0,,,0.0,591.0,2074.0
18,FS-PL,74,3.89,22.95,121,288.0,1698.0,950.0,,,0.0,829.0,3225.0
19,FS-PS,67,3.51,18.95,138,235.0,1270.0,860.0,,,0.0,722.0,2534.0
20,FBX-N,54,3.57,22.95,56,193.0,1239.0,693.0,2024-01-06,200.0,200.0,437.0,1560.0
21,FBX-P,53,3.57,22.95,64,189.0,1216.0,680.0,2024-01-06,200.0,200.0,416.0,1485.0
22,F-BE90,32,2.1,14.95,47,67.0,478.0,411.0,,,0.0,364.0,764.0
23,F-CH90,23,2.1,14.95,31,48.0,344.0,295.0,,,0.0,264.0,554.0
24,F-DU90,21,2.1,14.95,73,44.0,314.0,270.0,,,0.0,197.0,414.0
25,F-LI90,21,2.1,14.95,51,44.0,314.0,270.0,,,0.0,219.0,460.0
26,F-MX90,415,2.1,14.95,805,872.0,6204.0,5327.0,,,0.0,4522.0,9496.0
27,F-BE,4,1.8,12.95,125,7.0,52.0,51.0,,,0.0,0.0,0.0
28,F-CH,9,1.8,12.95,129,16.0,117.0,116.0,,,0.0,0.0,0.0
29,F-DU,5,1.8,12.95,79,9.0,65.0,64.0,,,0.0,0.0,0.0
30,F-LI,0,1.8,12.95,26,0.0,0.0,0.0,,,0.0,0.0,0.0
31,F-MX,114,1.8,12.95,1050,205.0,1476.0,1463.0,,,0.0,413.0,743.0
32,F-PB,17,1.8,12.95,12,31.0,220.0,218.0,,,0.0,206.0,371.0
